LoanAmount,Income,Age,IsEmployed,ExistingDebt,IsLoanApproved
500000,900000,42,1,300000,1
1600000,400000,64,1,0,1
2400000,300000,32,1,0,0
1100000,500000,25,1,300000,1
2400000,500000,44,1,300000,0
2600000,800000,59,1,0,1
3600000,900000,51,1,300000,1
2400000,500000,63,1,0,0
1800000,500000,62,1,0,1
2700000,900000,39,1,0,1
500000,800000,62,1,300000,1
3000000,400000,64,0,0,0
900000,100000,52,0,0,0
500000,900000,51,1,300000,1
3500000,800000,55,1,300000,1
1000000,600000,52,1,0,1
2900000,300000,68,1,300000,0
700000,1000000,59,1,300000,1
3200000,700000,46,1,0,1
2900000,400000,38,1,300000,0
2600000,800000,57,1,0,1
2200000,700000,61,1,0,1
3000000,900000,51,0,0,0
1000000,300000,23,1,0,1
3600000,500000,45,1,0,0
800000,100000,30,0,0,0
3300000,300000,22,0,0,0
2200000,300000,45,1,0,0
1100000,1100000,59,1,300000,1
3200000,500000,69,1,0,0
3100000,400000,48,1,300000,0
500000,400000,47,1,0,1
2700000,500000,47,1,300000,0
700000,800000,28,1,0,1
3600000,700000,46,1,0,0
3200000,100000,37,1,0,0
3900000,900000,59,0,300000,0
600000,900000,63,1,0,1
1600000,700000,39,1,300000,1
700000,800000,38,1,0,1
2500000,1100000,65,1,300000,1
1200000,100000,68,0,300000,0
900000,1000000,27,1,0,1
600000,200000,41,1,300000,1
1300000,800000,69,0,0,0
3500000,800000,44,1,0,1
1300000,600000,67,1,0,0
1600000,200000,33,1,0,0
3600000,900000,33,1,0,1
1700000,300000,55,1,0,0
2000000,200000,29,1,0,0
2700000,900000,48,1,0,1
3900000,300000,29,1,300000,0
3500000,200000,69,1,300000,0
3600000,700000,54,0,0,0
2700000,700000,58,0,300000,0
600000,500000,40,1,300000,1
3300000,500000,45,1,300000,0
500000,400000,43,1,0,1
2100000,1100000,24,1,300000,1
1200000,400000,30,1,300000,1
2100000,300000,32,1,300000,0
1300000,500000,27,1,0,1
3400000,300000,60,1,0,0
2900000,100000,60,1,300000,0
3300000,1000000,58,1,0,1
3400000,300000,23,1,0,0
1800000,700000,58,1,300000,1
1200000,400000,27,1,0,1
900000,100000,27,1,0,0
3300000,900000,60,0,0,0
700000,800000,57,1,300000,1
3400000,800000,46,1,300000,1
2300000,800000,37,1,0,1
200000,700000,42,1,300000,1
1700000,900000,31,1,300000,1
2900000,100000,26,1,0,0
3000000,500000,46,1,0,0
500000,300000,52,1,300000,1
3400000,900000,24,1,0,1
3600000,1100000,41,1,300000,1
3200000,900000,25,1,300000,1
200000,1100000,35,1,300000,1
2000000,600000,33,1,0,1
3300000,700000,35,1,0,0
200000,500000,58,1,0,1
3100000,300000,39,1,300000,0
1900000,400000,48,1,300000,0
2000000,200000,28,1,300000,0
